"";"x"
"1";"ENSG00000002746"
"2";"ENSG00000004059"
"3";"ENSG00000005249"
"4";"ENSG00000284096"
"5";"ENSG00000021645"
"6";"ENSG00000026297"
"7";"ENSG00000031081"
"8";"ENSG00000061455"
"9";"ENSG00000070214"
"10";"ENSG00000070269"
"11";"ENSG00000071082"
"12";"ENSG00000072422"
"13";"ENSG00000072756"
"14";"ENSG00000075073"
"15";"ENSG00000075340"
"16";"ENSG00000081386"
"17";"ENSG00000081665"
"18";"ENSG00000082153"
"19";"ENSG00000084733"
"20";"ENSG00000085265"
"21";"ENSG00000090612"
"22";"ENSG00000256825"
"23";"ENSG00000090612"
"24";"ENSG00000090857"
"25";"ENSG00000095587"
"26";"ENSG00000099399"
"27";"ENSG00000100292"
"28";"ENSG00000100330"
"29";"ENSG00000101444"
"30";"ENSG00000101596"
"31";"ENSG00000102780"
"32";"ENSG00000104228"
"33";"ENSG00000104388"
"34";"ENSG00000105676"
"35";"ENSG00000106459"
"36";"ENSG00000110172"
"37";"ENSG00000285023"
"38";"ENSG00000110925"
"39";"ENSG00000111530"
"40";"ENSG00000112304"
"41";"ENSG00000112365"
"42";"ENSG00000112462"
"43";"ENSG00000204692"
"44";"ENSG00000224487"
"45";"ENSG00000242022"
"46";"ENSG00000250364"
"47";"ENSG00000251394"
"48";"ENSG00000113269"
"49";"ENSG00000113296"
"50";"ENSG00000113456"
"51";"ENSG00000114054"
"52";"ENSG00000117616"
"53";"ENSG00000119285"
"54";"ENSG00000119661"
"55";"ENSG00000119969"
"56";"ENSG00000122545"
"57";"ENSG00000122574"
"58";"ENSG00000123575"
"59";"ENSG00000124155"
"60";"ENSG00000126733"
"61";"ENSG00000126804"
"62";"ENSG00000127920"
"63";"ENSG00000128881"
"64";"ENSG00000128928"
"65";"ENSG00000129244"
"66";"ENSG00000130559"
"67";"ENSG00000130590"
"68";"ENSG00000131269"
"69";"ENSG00000132341"
"70";"ENSG00000132463"
"71";"ENSG00000132530"
"72";"ENSG00000133112"
"73";"ENSG00000133863"
"74";"ENSG00000135272"
"75";"ENSG00000135454"
"76";"ENSG00000135823"
"77";"ENSG00000136048"
"78";"ENSG00000136381"
"79";"ENSG00000136463"
"80";"ENSG00000136872"
"81";"ENSG00000137860"
"82";"ENSG00000138316"
"83";"ENSG00000138675"
"84";"ENSG00000139974"
"85";"ENSG00000142920"
"86";"ENSG00000142949"
"87";"ENSG00000143340"
"88";"ENSG00000143570"
"89";"ENSG00000143761"
"90";"ENSG00000143878"
"91";"ENSG00000143951"
"92";"ENSG00000143971"
"93";"ENSG00000145536"
"94";"ENSG00000146039"
"95";"ENSG00000146757"
"96";"ENSG00000149218"
"97";"ENSG00000149527"
"98";"ENSG00000276429"
"99";"ENSG00000149923"
"100";"ENSG00000150275"
"101";"ENSG00000152518"
"102";"ENSG00000152926"
"103";"ENSG00000152926"
"104";"ENSG00000152926"
"105";"ENSG00000152926"
"106";"ENSG00000152926"
"107";"ENSG00000152926"
"108";"ENSG00000152926"
"109";"ENSG00000152926"
"110";"ENSG00000152926"
"111";"ENSG00000152926"
"112";"ENSG00000152926"
"113";"ENSG00000153561"
"114";"ENSG00000154096"
"115";"ENSG00000154429"
"116";"ENSG00000156804"
"117";"ENSG00000157916"
"118";"ENSG00000158966"
"119";"ENSG00000160229"
"120";"ENSG00000160336"
"121";"ENSG00000160352"
"122";"ENSG00000162694"
"123";"ENSG00000162924"
"124";"ENSG00000162999"
"125";"ENSG00000163406"
